method,property,alpha,latent_displacement,requested_candidates,valid_candidates,valid_fraction,distinct_canonical_structures,median_sa_score,median_delta_sa_vs_seed,median_np_likeness,median_delta_np_vs_seed,median_np_fragment_confidence,sa_nonworsening_fraction_valid_changed,np_nondecreasing_fraction_valid_changed
MolecuLA raw OLS (seed-excluded),HBA,-116.66666666666666,116.66666666666666,50,50,1.0,37,3.724064730942675,1.3150443203105047,0.9770620881211168,1.8130405037334811,0.8333333333333334,0.14,0.9
MolecuLA raw OLS (seed-excluded),HBA,-113.63636363636364,113.63636363636364,50,50,1.0,39,3.6582262694042136,1.2604561750984509,1.0025238949257,1.9816247003354066,0.8333333333333334,0.16,0.9
MolecuLA raw OLS (seed-excluded),HBA,-110.6060606060606,110.6060606060606,50,50,1.0,40,3.6582262694042136,1.2604561750984509,0.9770620881211168,1.699091383227601,0.8333333333333334,0.18,0.92
MolecuLA raw OLS (seed-excluded),HBA,-107.57575757575758,107.57575757575758,50,50,1.0,42,3.6582262694042136,1.1778032883902982,1.2677654261521583,1.9414040800028305,0.8333333333333334,0.2,0.94
MolecuLA raw OLS (seed-excluded),HBA,-104.54545454545456,104.54545454545456,50,50,1.0,44,3.724064730942675,1.1993040619344164,1.2567609440285799,1.9016385680443513,0.846875,0.2,0.94
MolecuLA raw OLS (seed-excluded),HBA,-101.51515151515152,101.51515151515152,50,50,1.0,47,3.771757227394771,1.2222590763648027,1.389998735143089,1.9414040800028305,0.8660714285714286,0.18,0.94
MolecuLA raw OLS (seed-excluded),HBA,-98.48484848484848,98.48484848484848,50,50,1.0,48,3.8368155268467685,1.3005147667931034,1.3406122850823046,1.9536731818113893,0.85,0.14,0.94
MolecuLA raw OLS (seed-excluded),HBA,-95.45454545454544,95.45454545454544,50,50,1.0,46,3.5919964296256417,1.153634800769896,1.4166863201482798,2.1050688266877278,0.873015873015873,0.2,0.96
MolecuLA raw OLS (seed-excluded),HBA,-92.42424242424242,92.42424242424242,50,50,1.0,46,3.553357731140849,1.123853325886195,1.3406122850823046,2.0560039134259336,0.8660714285714286,0.22,0.96
MolecuLA raw OLS (seed-excluded),HBA,-89.39393939393939,89.39393939393939,50,50,1.0,46,3.553357731140849,1.0718037284596398,1.1718900878204326,2.0041175204441215,0.8660714285714286,0.26,0.92
MolecuLA raw OLS (seed-excluded),HBA,-86.36363636363637,86.36363636363637,50,50,1.0,45,3.510265265303639,1.0688225566554257,1.248500943165297,2.0712200835980408,0.8918128654970761,0.24,0.92
MolecuLA raw OLS (seed-excluded),HBA,-83.33333333333333,83.33333333333333,50,50,1.0,47,3.6970757821685645,1.205607336670787,1.112940849239652,2.022941003162313,0.8856209150326797,0.14,0.94
MolecuLA raw OLS (seed-excluded),HBA,-80.3030303030303,80.3030303030303,50,50,1.0,47,3.754931509824623,1.2805980701298374,1.1471003153584807,2.065483306573199,0.8856209150326797,0.14,0.9
